output: Running command: ./bitcoin --p2p 0.0.0.0:6042 --api 0.0.0.0:7149 -c 52.207.199.152:6042 -c 3.227.140.65:6042 -c 3.85.252.146:6042 -c 44.222.24.121:6042 -c 34.235.25.14:6042 -c 13.237.175.142:6042 -c 13.238.16.52:6042 -c 13.236.234.12:6042 -c 13.211.68.104:6042 --shardId 0 --nodeId 9 --experNumber 0 --shardNum 5 --shardSize 10 --blockSize 2048 --k 6 --eDiff 0000007fffffffffffffffffffffffffffffffffffffffffffffffffffffffff --iDiff 0000007fffffffffffffffffffffffffffffffffffffffffffffffffffffffff
err: [2023-12-29T10:00:44Z INFO  bitcoin] configuration: Configuration { difficulty: 0000..ffff, thredshold: 0000..ffff, block_size: 2048, k: 6, initial_balance: 1000, initial_utxo_num: 3, user_size: 3, num_tx_recv: 3, shard_id: 0, node_id: 9, max_shard_num: 256, shard_num: 5, shard_size: 10, tx_merkle_proof_len: 1, network_delay: 0, exper_number: 0 }
[2023-12-29T10:48:53Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..d006 in shard 0: insertion fails: Block already exits
[2023-12-29T10:48:53Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..d006 in shard 0: insertion fails: Block already exits
[2023-12-29T10:48:53Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..d006 in shard 0: insertion fails: Block already exits
[2023-12-29T10:48:53Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..d006 in shard 0: insertion fails: Block already exits
[2023-12-29T10:48:53Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:48:54Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:48:54Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:48:54Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:48:54Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:48:54Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:48:54Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..7d10 in shard 0
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..7d10 in shard 0
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7d10
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7d10
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7d10
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7d10
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T10:50:33Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T10:50:34Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:34Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:34Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:50:34Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:50:34Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive full blocks
[2023-12-29T10:50:34Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..7d10 in shard 0
[2023-12-29T10:50:34Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..7d10 in shard 0
[2023-12-29T10:50:36Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7d10
[2023-12-29T10:50:36Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:50:36Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:50:36Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:50:36Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:50:36Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:50:37Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:50:37Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:50:37Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:50:37Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..779f in shard 0
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..779f in shard 0
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..779f
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..779f
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..779f
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..779f
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..779f
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..779f in shard 0
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..779f in shard 0
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..779f in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..779f in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..779f in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..779f in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..779f in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:35Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:51:37Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:51:37Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:51:38Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:51:38Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:51:38Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:51:38Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:51:41Z INFO  bitcoin::manifoldchain::miner] mine an inclusive block 00000002c2b7ebbb7908a4fad33b074b0b4f7d7885703f6a8c56de0d9890f148 in shard 0
[2023-12-29T10:51:41Z INFO  bitcoin::manifoldchain::miner::worker] inter_parents size: 1
[2023-12-29T10:51:41Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:51:43Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:51:43Z INFO  bitcoin::manifoldchain::miner::worker] inter_parents size: 1
[2023-12-29T10:51:43Z INFO  bitcoin::manifoldchain::miner::worker] inter_parents size: 1
[2023-12-29T10:51:43Z INFO  bitcoin::manifoldchain::miner::worker] inter_parents size: 1
[2023-12-29T10:51:43Z INFO  bitcoin::manifoldchain::miner::worker] inter_parents size: 1
[2023-12-29T10:51:44Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:44Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:44Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:45Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:51:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:47Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:47Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:47Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:51:47Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:51:47Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:51:47Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:51:48Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:51:48Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:51:48Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:51:48Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:51:48Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..af13 in shard 0
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..af13 in shard 0
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..af13
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..af13
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..af13
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..af13
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..af13
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..af13 in shard 0
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..af13 in shard 0
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..af13 in shard 0
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..af13 in shard 0
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..af13 in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..af13 in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..af13 in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..af13 in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..af13 in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..af13 in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..af13 in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..af13 in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..af13 in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..af13 in shard 0: insertion fails: Block already exits
[2023-12-29T10:51:56Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:51:57Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:51:57Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:51:57Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:51:57Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:51:57Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:51:57Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..8e64
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..8e64
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..8e64
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..8e64
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..8e64
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..8e64 in shard 0
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..8e64 in shard 0: insertion fails: Block already exits
[2023-12-29T10:52:15Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:52:18Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:52:18Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:52:18Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:52:18Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:52:18Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T10:52:18Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T10:53:26Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:53:26Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:53:26Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:53:26Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:53:26Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:53:26Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:53:27Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:53:27Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T10:53:27Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T10:53:27Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..8af4 in shard 0
